z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty,betaMinus,betaMinusUncertainty
18,29,47Ar,0,1.23,s,0.03,β⁻,100.0,,10300.0,1.84
18,25,43Ar,0,5.37,m,0.06,β⁻,100.0,,4560.0,5.32
18,26,44Ar,0,11.87,m,0.05,β⁻,100.0,,3100.0,1.63
18,27,45Ar,0,21.48,s,0.15,β⁻,100.0,,6840.0,0.731
18,28,46Ar,0,8.4,s,0.5,β⁻,100.0,,5640.0,2.43
18,21,39Ar,0,268,y,8,β⁻,100.0,,565.0,5.0
18,23,41Ar,0,109.61,m,0.04,β⁻,100.0,,2490.0,0.347
18,24,42Ar,0,32.9,y,11.0,β⁻,100.0,,599.0,5.77
19,27,46K,0,96.31,s,0.078,β⁻,100.0,,7720.0,2.34
19,26,45K,0,17.79,m,0.43,β⁻,100.0,,4190.0,0.636
19,29,48K,0,6.8,s,0.2,β⁻,100.0,,11900.0,0.773
19,28,47K,0,17.38,s,0.03,β⁻,100.0,,6630.0,2.62
19,23,42K,0,12.359,h,0.004,β⁻,100.0,,3520.0,0.182
19,25,44K,0,22.13,m,0.19,β⁻,100.0,,5680.0,0.53
19,24,43K,0,22.28,h,0.11,β⁻,100.0,,1830.0,0.468
19,21,40K,0,1.25e+09,y,3.00e+06,β⁻,89.28,0.11,1310.0,0.0596
19,34,53K,0,30,ms,5,β⁻,100.0,,17000.0,120.0
19,33,52K,0,110,ms,4,β⁻,100.0,,17100.0,33.5
19,35,54K,0,10,ms,5,β⁻,100.0,,20000.0,403.0
19,30,49K,0,1.26,s,0.05,β⁻,100.0,,11600.0,0.82
19,32,51K,0,365,ms,5,β⁻,100.0,,13800.0,13.0
19,31,50K,0,472,ms,4,β⁻,100.0,,13800.0,7.89
20,36,56Ca,0,11,ms,2,β⁻,100.0,,12000.0,360.0
20,35,55Ca,0,22,ms,2,β⁻,100.0,,12100.0,171.0
20,34,54Ca,0,90,ms,8,β⁻,100.0,,9270.0,50.4
20,33,53Ca,0,461,ms,90,β⁻,100.0,,9380.0,47.2
20,32,52Ca,0,4.6,s,0.3,β⁻,100.0,,6250.0,3.14
