np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
48,69,0,0.1794871794871795,3.401400540781544,0.0008582486189992834,3.9547633503755106,0.0008675479063189209,0.5,1,0,4.5,1,0,4.0,1
13,17,1,0.13333333333333333,3.932473764677153,9.791919977491542e-05,0.557507201905658,0.004812127223304729,3.0,1,0,0.0,0,2,-1.0,0
44,72,-1,0.2413793103448276,3.823474229170301,0.004818973305202749,-0.6925039620867871,0.01069690842126236,0.0,1,0,1.0,1,0,1.0,1
28,46,-1,0.24324324324324326,3.863322860120456,0.011898478956253475,-0.29439283659539495,0.0039349115949477214,0.0,1,0,2.0,-1,0,2.0,-1
82,135,0,0.24423963133640553,3.5477747053878224,0.03690887948186276,1.2988530764097066,0.11566636955212234,0.0,0,2,4.5,-1,1,-1.0,0
29,37,1,0.12121212121212122,3.4216039268698313,0.00015216757415170755,2.484869032720402,0.0007679077283161622,1.0,1,0,0.0,0,2,-1.0,0
19,30,0,0.22448979591836735,4.064457989226918,3.0700127169022966e-05,0.10037054511756291,0.0172339080120338,0.5,1,0,1.5,-1,0,1.0,-1
96,153,0,0.2289156626506024,2.9561684304753633,0.001244272907222812,3.585347911094591,0.00020309952388304834,0.5,1,0,3.5,1,0,3.0,1
45,71,1,0.22413793103448276,3.9585638832219674,0.0035402883508284877,-0.1643094285075744,0.024092248631129295,1.0,1,0,0.0,1,0,1.0,1
53,92,0,0.2689655172413793,4.012837224705172,0.021082256403070477,-1.0472075569559078,0.04502718708695922,0.0,0,2,0.0,0,2,-1.0,0
57,94,0,0.24503311258278146,3.8981764834976764,0.023883451280393746,-0.34008379993014975,0.022807587671067928,0.0,0,2,1.5,-1,1,-1.0,0
38,66,-1,0.2692307692307692,4.012837224705172,0.015221389123016883,-1.2924298239020637,0.0340623123061374,0.0,1,0,0.0,0,2,-1.0,0
90,147,0,0.24050632911392406,3.383815365980431,0.0036789408590977945,2.4584867637982066,0.045333453225809166,0.0,0,2,0.5,1,1,-1.0,0
37,61,1,0.24489795918367346,4.079181246047625,0.0005935357919344441,-0.9393021596463883,0.0226588425340827,0.0,-1,1,0.0,1,0,0.0,-1
15,20,0,0.14285714285714285,3.5998830720736876,0.00020296174279900713,1.6748611407378116,0.006427191064107321,0.5,1,0,1.5,1,0,1.0,1
13,21,1,0.23529411764705882,4.227886704613674,5.782027125930867e-05,-1.269783159431306,0.0010507776409347243,4.0,-1,0,0.0,1,0,4.0,-1
51,88,0,0.26618705035971224,4.004321373782642,0.017199781461514924,-0.7399286120149252,0.021476100753457506,0.0,0,2,0.0,0,2,-1.0,0
26,33,0,0.11864406779661017,3.1931245983544616,0.0001027273486040384,6.584824953585409,8.784470922866089e-05,1.5,-1,0,0.0,0,2,-1.0,0
78,119,0,0.20812182741116753,2.8567288903828825,0.00030322090391576135,4.854970034880155,4.148302117065975e-05,0.5,-1,0,5.5,-1,0,5.0,1
65,103,1,0.2261904761904762,3.7611758131557314,0.01053747443092812,0.9731278535996987,0.018480616251202203,4.0,-1,1,0.0,1,0,4.0,-1
54,88,-1,0.23943661971830985,3.722633922533812,0.0006218307354523832,0.08884456272700428,0.0060171199611697476,0.0,1,0,0.0,-1,0,0.0,-1
37,62,0,0.25252525252525254,4.05307844348342,0.00023905413074674567,-1.269217724333611,0.021795447976557247,1.5,1,1,1.5,1,0,0.0,1
84,138,-1,0.24324324324324326,3.184691430817599,0.012205661909699234,2.161966616364075,1.1368824557260746,0.0,1,0,0.0,0,2,-1.0,0
