z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty,twoNeutronSeparationEnergy,twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy,twoProtonSeparationEnergyUncertainty,doubleBetaMinus,doubleBetaMinusUncertainty,doubleElectronCapture,doubleElectronCaptureUncertainty,electronCaptureOneProtonEmission,electronCaptureOneProtonEmissionUncertainty,betaMinusOneNeutronEmission,betaMinusOneNeutronEmissionUncertainty,betaMinusTwoNeutronEmission,betaMinusTwoNeutronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty,pairingGap,pairingGapUncertainty,firstExcitedStateEnergy,firstExcitedStateEnergyUncertainty,firstTwoPlusEnergy,firstTwoPlusEnergyUncertainty,firstThreeMinusEnergy,firstThreeMinusEnergyUncertainty,firstFourPlusEnergy,firstFourPlusEnergyUncertainty,firstFourPlusOverFirstTwoPlusEnergy,firstFourPlusOverFirstTwoPlusEnergyUncertainty,quadrupoleDeformation,quadrupoleDeformationUncertainty,BE4DBE2,BE4DBE2Uncertainty,thermalNeutronCapture,thermalNeutronFission,FY235U,FY235UUncertainty,FY239Pu,FY239PuUncertainty,FY252Cf,FY252CfUncertainty,FY238U,FY238UUncertainty,FY241U,FY241UUncertainty,cFY235U,cFY235UUncertainty,cFY239Pu,cFY239PuUncertainty,cFY252Cf,cFY252CfUncertainty,cFY238U,cFY238UUncertainty,cFY241U,cFY241UUncertainty,secondTwoPlusEnergy,secondTwoPlusEnergyUncertainty
61,87,148Pm,0,5.368,d,0.007,1-,β⁻,100.0,,-76800.0,5.69,2470.0,5.64,542.0,5.87,-479.0,5.87,,,,,1450.0,6.14,46.3,4.15,,,,,-568.0,11.4,-4330.0,16.0,-8710.0,16.8,-5670.0,5.64,-12000.0,8.04,8260.0,0.0383,10.4,0.0383,687.0,4.21,,,,,,,,,,,,,,,[object Object],,8.09e-11,5.18e-11,4.49e-08,2.87e-08,1.45e-07,9.34e-08,1.66e-11,1.06e-11,,,8.09e-11,5.18e-11,4.49e-08,2.87e-08,1.45e-07,9.34e-08,1.66e-11,1.06e-11,,,,
61,97,158Pm,0,4.8,s,0.5,,β⁻,100.0,,-59100.0,0.888,6140.0,4.86,-5270.0,1.57,-6290.0,1.57,,,,,-3670.0,100.0,814.0,50.0,,,,,8160.0,2.21,-14900.0,300.0,-17900.0,3.28,-499.0,4.52,-5880.0,1.25,8140.0,0.0056,-2.09,0.0056,319.0,6.14,,,,,,,,,,,,,,,,,7.05e-06,4.51e-06,6.38e-05,4.08e-05,0.000691,0.000442,0.000107,6.88e-05,,,7.57e-06,4.85e-06,6.6e-05,4.22e-05,0.000714,0.000457,0.000141,9.05e-05,,,,
61,96,157Pm,0,10.56,s,0.1,(5/2-),β⁻,100.0,,-62200.0,7.0,4380.0,8.26,-5800.0,7.32,-6820.0,7.32,,,,,-3150.0,13.7,617.0,9.31,,,,,7160.0,8.17,-13800.0,7.68,-18100.0,7.08,-1000.0,11.0,-8240.0,9.9,8160.0,0.0446,1.82,0.0446,660.0,5.0,,,,,,,,,,,,,,,,,2.93e-05,1.87e-05,0.000274,0.000175,0.00199,0.00127,0.000216,0.000138,,,3.41e-05,2.18e-05,0.000295,0.000189,0.00217,0.00139,0.000383,0.000245,,,,
61,95,156Pm,0,27.8,s,0.8,4(+),β⁻,100.0,,-64100.0,1.18,5190.0,8.6,-3960.0,1.76,-4980.0,1.76,,,,,-2830.0,18.5,541.0,9.31,,,,,5910.0,3.72,-12700.0,1.56,-16000.0,17.2,-2040.0,1.78,-7850.0,1.68,8170.0,0.0076,0.571,0.0076,451.0,4.3,,,,,,,,,,,,,,,,,7.06e-05,4.52e-05,0.000621,0.000397,0.00458,0.00105,0.000226,0.000144,,,0.000118,5.31e-05,0.000782,0.0005,0.00565,0.000621,0.000748,5.98e-05,,,,
61,94,155Pm,0,41.5,s,0.2,5/2-,β⁻,100.0,,-66900.0,4.71,3250.0,4.9,-4650.0,10.2,-5670.0,10.2,,,,,-2580.0,12.5,528.0,7.04,,,,,4870.0,4.88,-11500.0,17.8,-16300.0,100.0,-2550.0,4.89,-10500.0,6.67,8190.0,0.0304,4.91,0.0304,723.0,12.9,,,,,,,,,,,,,,,,,0.000126,8.06e-05,0.000921,0.000589,0.0044,0.00281,0.000185,0.000118,,,0.000308,4.93e-05,0.00144,0.000923,0.00695,0.00159,0.00141,0.000635,,,,
61,93,154Pm,0,2.68,m,0.07,(3;4),β⁻,100.0,,-68200.0,25.0,4180.0,25.0,-2680.0,25.0,-3700.0,25.0,,,,,-2390.0,26.5,481.0,18.2,,,,,3470.0,25.0,-10400.0,103.0,-13900.0,27.6,-3770.0,25.0,-9640.0,35.3,8200.0,0.162,4.69,0.162,527.0,18.4,,,,,,,,,,,,,,,,,5.41e-05,3.46e-05,0.000449,0.000287,0.00254,0.00162,3.75e-05,2.4e-05,,,5.41e-05,3.46e-05,0.000449,0.000287,0.00254,0.00162,3.75e-05,2.4e-05,,,,
61,92,153Pm,0,5.25,m,0.02,5/2-,β⁻,100.0,,-70600.0,9.06,1910.0,9.08,-3310.0,9.35,-4330.0,9.35,,,,,-2030.0,13.4,398.0,8.35,,,,,2710.0,9.1,-9070.0,14.9,-14100.0,20.6,-3950.0,9.08,-12200.0,12.8,8220.0,0.0592,9.21,0.0592,887.0,19.1,,,,,,,,,,,,,,,,,8.8e-05,5.63e-05,0.000683,0.000437,0.00216,0.00138,2.85e-05,1.82e-05,,,0.00158,0.000126,0.00359,0.000395,0.0128,0.000771,0.00414,0.000165,,,,
61,91,152Pm,0,4.1,m,0.1,1+,β⁻,100.0,,-71200.0,25.9,3500.0,25.8,-1100.0,18.5,-2120.0,18.5,,,,,-1140.0,29.9,-54.6,19.8,,,,,1630.0,25.8,-7490.0,31.8,-11700.0,28.3,-4740.0,25.8,-10300.0,36.6,8220.0,0.17,11.1,0.17,762.0,19.0,,,,,,,,,,,,,,,,,9.27e-06,5.93e-06,0.000111,7.13e-05,0.000403,0.000258,1.42e-06,9.08e-07,,,9.27e-06,5.93e-06,0.000111,7.13e-05,0.000403,0.000258,1.42e-06,9.08e-07,,,,
61,90,151Pm,0,28.4,h,0.04,5/2+,β⁻,100.0,,-73300.0,4.61,1190.0,4.47,-2440.0,4.47,-3460.0,4.47,,,,,-367.0,16.4,-244.0,8.54,,,,,1260.0,4.5,-6600.0,12.5,-12300.0,10.1,-4400.0,4.47,-12300.0,6.52,8240.0,0.0305,14.8,0.0305,960.0,16.6,,,,,,,,,,,,,,,[object Object],,6.41e-06,4.1e-06,0.000107,6.89e-05,0.000214,0.000137,4.85e-07,3.1e-07,,,0.00418,8.37e-05,0.00738,0.000103,0.0194,0.000545,0.00799,0.000159,,,,
61,99,160Pm,0,0.725,s,0.057,,β⁻,100.0,,-52800.0,2.04,7330.0,2.83,-6170.0,46.6,-7190.0,46.6,,,,,-3870.0,2.29,553.0,1.85,,,,,10500.0,2.23,-16600.0,400.0,-19400.0,400.0,1240.0,6.27,-3780.0,2.89,8100.0,0.0128,-1.99,0.0128,425.0,6.9,,,,,,,,,,,,,,,,,7.54e-08,4.83e-08,1.25e-06,8.06e-07,3.89e-05,2.49e-05,8.95e-06,5.72e-06,,,7.59e-08,4.86e-08,1.25e-06,8.06e-07,3.91e-05,2.5e-05,9.32e-06,5.96e-06,,,,
