z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty,twoNeutronSeparationEnergy,twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy,twoProtonSeparationEnergyUncertainty,doubleBetaMinus,doubleBetaMinusUncertainty,doubleElectronCapture,doubleElectronCaptureUncertainty,electronCaptureOneProtonEmission,electronCaptureOneProtonEmissionUncertainty,betaMinusOneNeutronEmission,betaMinusOneNeutronEmissionUncertainty,betaMinusTwoNeutronEmission,betaMinusTwoNeutronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty,pairingGap,pairingGapUncertainty,firstExcitedStateEnergy,firstExcitedStateEnergyUncertainty,firstTwoPlusEnergy,firstTwoPlusEnergyUncertainty,firstThreeMinusEnergy,firstThreeMinusEnergyUncertainty,firstFourPlusEnergy,firstFourPlusEnergyUncertainty,firstFourPlusOverFirstTwoPlusEnergy,firstFourPlusOverFirstTwoPlusEnergyUncertainty,quadrupoleDeformation,quadrupoleDeformationUncertainty,BE4DBE2,BE4DBE2Uncertainty,thermalNeutronCapture,thermalNeutronFission,FY235U,FY235UUncertainty,FY239Pu,FY239PuUncertainty,FY252Cf,FY252CfUncertainty,FY238U,FY238UUncertainty,FY241U,FY241UUncertainty,cFY235U,cFY235UUncertainty,cFY239Pu,cFY239PuUncertainty,cFY252Cf,cFY252CfUncertainty,cFY238U,cFY238UUncertainty,cFY241U,cFY241UUncertainty,secondTwoPlusEnergy,secondTwoPlusEnergyUncertainty
25,43,68Mn,0,33.9,ms,1.7,,β⁻,100.0,,-28900.0,300.0,14900.0,356.0,-13200.0,583.0,-14200.0,583.0,,,,,-15000.0,500.0,610.0,327.0,,,,,22700.0,300.0,,,-34400.0,671.0,8710.0,300.0,5000.0,424.0,8200.0,4.0,-48.5,4.0,549.0,299.0,,,,,,,,,,,,,,,,,6.65e-13,4.26e-13,1.57e-13,1.01e-13,3.87e-12,2.48e-12,5.04e-10,3.22e-10,,,6.65e-13,4.26e-13,1.57e-13,1.01e-13,3.87e-12,2.48e-12,5.04e-10,3.22e-10,,,,
25,45,70Mn,0,19.9,ms,1.7,,β⁻,100.0,,-20400.0,500.0,16400.0,583.0,-14800.0,781.0,-15800.0,781.0,,,,,-16500.0,707.0,530.0,476.0,,,,,26000.0,500.0,,,,,10600.0,539.0,7300.0,707.0,8080.0,7.0,-90.2,7.0,532.0,473.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.47e-13,9.47e-14,4.45e-12,2.84e-12,,,0.0,0.0,0.0,0.0,1.47e-13,9.47e-14,4.45e-12,2.84e-12,,,,
25,40,65Mn,0,91.7,ms,1.0,(5/2-),β⁻,100.0,,-40900.0,3.72,10200.0,6.32,-12600.0,200.0,-13600.0,200.0,,,,,-13200.0,234.0,686.0,125.0,,,,,18200.0,4.26,-28800.0,500.0,-31900.0,400.0,5930.0,6.24,-1470.0,5.26,8400.0,0.0573,9.57,0.0573,1090.0,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,42,67Mn,0,47,ms,3,,β⁻,100.0,,-33500.0,200.0,12100.0,200.0,-14300.0,447.0,-15300.0,447.0,,,,,-14200.0,395.0,525.0,320.0,,,,,21700.0,200.0,-31800.0,632.0,-34500.0,539.0,8410.0,200.0,1490.0,282.0,8280.0,3.0,-19.1,3.0,771.0,196.0,,,,,,,,,,,,,,,,,5.37e-12,3.44e-12,7.57e-13,4.85e-13,1e-11,6.46e-12,2.67e-09,1.7e-09,,,5.37e-12,3.44e-12,7.57e-13,4.85e-13,1.01e-11,6.52e-12,2.68e-09,1.71e-09,,,,
25,41,66Mn,0,63.9,ms,0.9,(1+;2+),β⁻,100.0,,-36700.0,11.1,13300.0,11.9,-11600.0,300.0,-12600.0,300.0,,,,,-13900.0,264.0,881.0,132.0,,,,,19600.0,17.8,-30400.0,500.0,-31900.0,500.0,6390.0,12.2,2070.0,15.8,8330.0,0.169,-16.6,0.169,536.0,100.0,,,,,,,,,,,,,,,,,7.19e-12,4.6e-12,3.68e-12,2.36e-12,1.82e-11,1.17e-11,2.02e-09,1.29e-09,,,7.21e-12,4.62e-12,3.69e-12,2.36e-12,1.84e-11,1.18e-11,2.04e-09,1.3e-09,,,,
25,29,54Mn,0,312.1,d,0.04,3+,β⁻,9.3e-05,,-55500.0,1.0,696.0,1.05,1370.0,1.0,355.0,1.0,,,,,-8750.0,1.0,1020.0,0.914,,,,,-7540.0,1.06,-5650.0,11.2,-10900.0,3.25,-12600.0,1.94,-23300.0,1.42,8730.0,0.0185,3.47,0.0185,643.0,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,33,58Mn,0,3,s,0.1,1+,β⁻,100.0,,-55800.0,2.7,6320.0,2.71,-3830.0,4.02,-4850.0,4.02,,,,,-8350.0,11.5,166.0,11.0,,,,,4010.0,2.93,-15300.0,95.8,-18600.0,84.8,-3710.0,2.71,-11300.0,3.81,8690.0,0.0466,37.6,0.0466,678.0,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,32,57Mn,0,85.4,s,1.8,5/2-,β⁻,100.0,,-57400.0,1.5,2690.0,1.52,-4960.0,2.39,-5980.0,2.39,,,,,-8050.0,3.44,111.0,1.92,,,,,1850.0,1.58,-13000.0,84.7,-18500.0,175.0,-4950.0,1.52,-16100.0,2.12,8730.0,0.0264,44.8,0.0264,1110.0,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,35,60Mn,0,0.28,s,0.02,1+,β⁻,100.0,,-52900.0,2.32,8440.0,4.12,-6050.0,2.58,-7080.0,2.58,,,,,-9200.0,175.0,-19.9,88.5,,,,,8680.0,2.36,-19800.0,181.0,-22600.0,137.0,-374.0,2.35,-6950.0,3.29,8620.0,0.0388,41.2,0.0388,665.0,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,34,59Mn,0,4.59,s,0.04,5/2-,β⁻,100.0,,-55500.0,2.32,5130.0,2.35,-7400.0,2.42,-8430.0,2.42,,,,,-8820.0,27.1,36.9,16.4,,,,,6700.0,2.36,-17900.0,137.0,-22300.0,95.8,-1440.0,2.35,-11400.0,3.29,8680.0,0.0395,52.1,0.0395,1120.0,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,37,62Mn,0,92,ms,13,1+,β⁻,100.0,,-48500.0,6.54,10300.0,7.11,-7670.0,7.39,-8690.0,7.39,,,,,-10500.0,96.0,104.0,48.6,,,,,12900.0,19.6,-23300.0,264.0,-25600.0,235.0,2320.0,7.04,-3250.0,9.25,8530.0,0.105,35.5,0.105,790.0,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,36,61Mn,0,0.709,s,0.006,(5/2-),β⁻,100.0,,-51700.0,2.32,7170.0,3.49,-9240.0,2.98,-10200.0,2.98,,,,,-9730.0,84.7,-68.0,42.4,,,,,11100.0,2.47,-21500.0,234.0,-25900.0,181.0,1590.0,4.12,-7210.0,3.29,8590.0,0.0382,51.9,0.0382,996.0,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,39,64Mn,0,90,ms,3,1(+),β⁻,100.0,,-42900.0,3.54,11900.0,6.14,-9340.0,299.0,-10300.0,299.0,,,,,-12300.0,181.0,624.0,91.0,,,,,16800.0,20.3,-26600.0,400.0,-28500.0,340.0,4570.0,5.57,-253.0,5.0,8430.0,0.0553,16.9,0.0553,938.0,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,38,63Mn,0,277,ms,5,5/2(-),β⁻,100.0,,-46800.0,3.72,8740.0,5.69,-10700.0,72.7,-11700.0,72.7,,,,,-11700.0,137.0,420.0,68.8,,,,,14900.0,18.9,-25100.0,340.0,-28900.0,264.0,3910.0,4.65,-4100.0,5.26,8500.0,0.0591,36.3,0.0591,1130.0,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,31,56Mn,0,2.5788,h,0.0002,3+,β⁻,100.0,,-56900.0,0.293,3690.0,0.206,-1620.0,0.552,-2640.0,0.552,,,,,-7890.0,0.322,364.0,0.247,,,,,-871.0,0.448,-10700.0,175.0,-15000.0,27.0,-7500.0,0.223,-16700.0,0.414,8730.0,0.0052,23.0,0.0052,687.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,34,60Fe,0,2.61e+06,y,3.76e+04,0+,β⁻,100.0,,-61400.0,3.4,237.0,3.41,-8440.0,4.12,-9460.0,4.12,,,,,-8550.0,3.43,221.0,2.42,,,,,3060.0,3.4,-14500.0,3.58,-20500.0,3.47,-7250.0,3.4,-17700.0,4.81,8750.0,0.0568,44.8,0.0568,1620.0,2.74,,,,,,,,,,,0.224,0.0113,1.02,0.312,,,,,,,,,,,,,,,,,,,,,,,,
26,33,59Fe,0,44.495,d,0.009,3/2-,β⁻,100.0,,-60600.0,0.33,1560.0,0.369,-5130.0,2.35,-6160.0,2.35,,,,,-7970.0,0.384,353.0,0.288,,,,,491.0,0.324,-12500.0,0.747,-15900.0,2.99,-8880.0,1.14,-17400.0,0.466,8750.0,0.0056,34.6,0.0056,1110.0,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,36,62Fe,0,68,s,2,0+,β⁻,100.0,,-58800.0,2.79,2540.0,18.7,-10300.0,7.11,-11300.0,7.11,,,,,-9310.0,4.08,-120.0,2.57,,,,,7860.0,2.82,-18000.0,4.43,-23600.0,3.35,-4050.0,2.91,-13300.0,3.95,8690.0,0.0451,50.1,0.0451,1590.0,3.2,,,,,,,,,,,0.228,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,,
26,35,61Fe,0,6.03,m,0.05,(3/2-),β⁻,100.0,,-58900.0,2.6,3970.0,2.73,-7170.0,3.49,-8200.0,3.49,,,,,-8820.0,3.2,95.1,2.08,,,,,5300.0,2.63,-16400.0,3.2,-19300.0,2.83,-5340.0,2.63,-12800.0,3.68,8700.0,0.0428,46.4,0.0428,1220.0,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,38,64Fe,0,2,s,0.3,0+,β⁻,100.0,,-54900.0,5.01,4820.0,20.6,-11900.0,6.14,-13000.0,6.14,,,,,-10400.0,5.14,-216.0,3.88,,,,,12100.0,5.03,-21300.0,299.0,-26000.0,72.8,-1180.0,19.2,-9680.0,7.09,8610.0,0.0784,43.7,0.0784,1540.0,4.87,,,,,,,,,,,0.296,0.0152,,,,,,,,,,,,,,,,,,,,,,,,,,
26,37,63Fe,0,6.1,s,0.6,(5/2-),β⁻,100.0,,-55600.0,4.3,6210.0,19.0,-8740.0,5.69,-9770.0,5.69,,,,,-9940.0,4.35,-293.0,3.38,,,,,9870.0,4.32,-19400.0,72.7,-22000.0,5.51,-2280.0,19.0,-8880.0,6.08,8630.0,0.0683,46.8,0.0683,1280.0,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,39,65Fe,0,0.803,s,0.018,(1/2-),β⁻,100.0,,-51200.0,5.11,7960.0,5.51,-10200.0,6.32,-11200.0,6.32,,,,,-11100.0,5.44,-19.6,4.17,,,,,13900.0,5.13,-22900.0,200.0,-24800.0,299.0,503.0,20.6,-5500.0,7.22,8540.0,0.0786,33.7,0.0786,1300.0,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,45,71Fe,0,34,ms,7,,β⁻,100.0,,-31900.0,400.0,12400.0,613.0,-15300.0,640.0,-16300.0,640.0,,,,,-15000.0,565.0,174.0,360.0,,,,,23400.0,400.0,,,-33500.0,721.0,6520.0,400.0,2310.0,565.0,8230.0,6.0,-61.9,6.0,1110.0,416.0,,,,,,,,,,,,,,,,,4.91e-12,3.14e-12,1.82e-12,1.17e-12,2.8e-11,1.79e-11,4.97e-10,3.18e-10,,,4.91e-12,3.14e-12,1.82e-12,1.17e-12,2.81e-11,1.8e-11,4.98e-10,3.18e-10,,,,
26,44,70Fe,0,61.5,ms,0.9,0+,β⁻,100.0,,-36800.0,300.0,9630.0,300.0,-16400.0,583.0,-17400.0,583.0,,,,,-14100.0,424.0,-30.0,278.0,,,,,22300.0,300.0,-31200.0,671.0,-34500.0,583.0,5420.0,312.0,-1390.0,424.0,8300.0,4.0,-37.2,4.0,1310.0,308.0,,,,,,,,,,,,,,,,,3.23e-11,2.07e-11,1.83e-11,1.17e-11,8.86e-11,5.67e-11,3.49e-09,2.23e-09,,,3.23e-11,2.07e-11,1.83e-11,1.17e-11,8.88e-11,5.68e-11,3.5e-09,2.24e-09,,,,
26,47,73Fe,0,12.9,ms,1.6,,β⁻,100.0,,-23900.0,500.0,13900.0,583.0,-17200.0,781.0,-18300.0,781.0,,,,,-16700.0,707.0,500.0,476.0,,,,,26100.0,500.0,,,,,8230.0,583.0,4230.0,707.0,8120.0,7.0,-109.0,7.0,999.0,511.0,,,,,,,,,,,,,,,,,5.53e-14,3.54e-14,0.0,0.0,6.94e-13,4.44e-13,9.57e-12,6.13e-12,,,5.53e-14,3.54e-14,0.0,0.0,6.94e-13,4.44e-13,9.58e-12,6.13e-12,,,,
26,46,72Fe,0,19,ms,4,0+,β⁻,100.0,,-29200.0,500.0,11000.0,583.0,-18000.0,781.0,-19100.0,781.0,,,,,-15900.0,707.0,310.0,458.0,,,,,24900.0,500.0,,,,,7040.0,683.0,1130.0,707.0,8190.0,7.0,-81.3,7.0,1280.0,487.0,,,,,,,,,,,,,,,,,7.14e-13,4.57e-13,2.27e-13,1.45e-13,5.28e-12,3.38e-12,5.15e-11,3.3e-11,,,7.14e-13,4.57e-13,2.27e-13,1.45e-13,5.28e-12,3.38e-12,5.16e-11,3.3e-11,,,,
26,48,74Fe,0,8.2,ms,+2.6-7.1,0+,β⁻,100.0,,-20600.0,500.0,12800.0,640.0,,,,,,,,,-17400.0,781.0,399.0,504.0,,,,,28000.0,539.0,,,,,9230.0,583.0,3490.0,707.0,8070.0,7.0,-129.0,7.0,1350.0,537.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.91e-14,3.78e-14,4.42e-13,2.83e-13,,,0.0,0.0,0.0,0.0,5.91e-14,3.78e-14,4.43e-13,2.83e-13,,,,
26,41,67Fe,0,398,ms,9,,β⁻,100.0,,-45700.0,3.81,9610.0,7.49,-12100.0,200.0,-13100.0,200.0,,,,,-11900.0,72.7,-83.8,36.4,,,,,18000.0,4.78,-26400.0,400.0,-27800.0,300.0,2620.0,14.4,-2660.0,5.4,8440.0,0.057,10.4,0.057,1280.0,102.0,,,,,,,,,,,,,,,,,6.86e-10,4.39e-10,1.81e-10,1.16e-10,3.24e-10,2.07e-10,7.4e-08,4.73e-08,,,6.91e-10,4.42e-10,1.82e-10,1.17e-10,3.34e-10,2.14e-10,7.67e-08,4.9e-08,,,,
26,40,66Fe,0,472,ms,33,0+,β⁻,100.0,,-50000.0,4.09,6340.0,14.5,-13300.0,11.9,-14300.0,11.9,,,,,-11600.0,5.35,34.6,3.53,,,,,15900.0,4.33,-24900.0,300.0,-29000.0,200.0,1040.0,4.59,-6410.0,5.79,8520.0,0.0621,23.7,0.0621,1600.0,4.3,,,,,,,,,,,,,,,,,3.75e-10,2.4e-10,3.62e-10,2.32e-10,2.29e-10,1.47e-10,2.17e-08,1.38e-08,,,3.82e-10,2.45e-10,3.66e-10,2.34e-10,2.47e-10,1.58e-10,2.38e-08,1.52e-08,,,,
26,43,69Fe,0,162,ms,7,(1/2-),β⁻,100.0,,-39100.0,200.0,11100.0,218.0,-13800.0,447.0,-14800.0,447.0,,,,,-13300.0,283.0,-10.0,173.0,,,,,20700.0,200.0,-29500.0,539.0,-30700.0,539.0,4370.0,200.0,-19.8,282.0,8340.0,3.0,-21.3,3.0,1180.0,226.0,,,,,,,,,,,,,,,,,1.21e-10,7.8e-11,5.86e-11,3.75e-11,2.12e-10,1.36e-10,1.44e-08,9.21e-09,,,1.21e-10,7.8e-11,5.86e-11,3.75e-11,2.13e-10,1.36e-10,1.45e-08,9.28e-09,,,,
26,42,68Fe,0,186,ms,4,0+,β⁻,100.0,,-43800.0,193.0,7740.0,193.0,-14900.0,356.0,-15900.0,356.0,,,,,-12600.0,356.0,-36.0,202.0,,,,,19500.0,193.0,-28200.0,536.0,-31900.0,444.0,3350.0,193.0,-3630.0,272.0,8410.0,3.0,-2.22,3.0,1440.0,177.0,,,,,,,,,,,,,,,,,3.91e-10,2.5e-10,1.34e-10,8.63e-11,3.18e-10,2.04e-10,4.3e-08,2.75e-08,,,3.91e-10,2.5e-10,1.34e-10,8.63e-11,3.22e-10,2.06e-10,4.35e-08,2.78e-08,,,,
27,47,74Co,0,31.3,ms,1.3,,β⁻,100.0,,-33500.0,400.0,15100.0,447.0,-12800.0,640.0,-13900.0,640.0,,,,,-15500.0,640.0,920.0,377.0,,,,,22400.0,400.0,,,-34100.0,721.0,8490.0,400.0,4540.0,565.0,8230.0,5.0,-94.8,5.0,724.0,353.0,,,,,,,,,,,,,,,,,2.99e-11,1.91e-11,7.25e-12,4.64e-12,1.17e-10,7.55e-11,1.07e-09,6.84e-10,,,2.99e-11,1.91e-11,7.25e-12,4.64e-12,1.17e-10,7.55e-11,1.07e-09,6.84e-10,,,,
27,48,75Co,0,26.5,ms,1.2,,β⁻,100.0,,-30500.0,400.0,13600.0,447.0,-15800.0,721.0,-16800.0,721.0,,,,,-16300.0,640.0,1040.0,380.0,,,,,23900.0,400.0,,,,,10000.0,447.0,3400.0,565.0,8190.0,5.0,-110.0,5.0,954.0,418.0,,,,,,,,,,,,,,,,,3.8e-12,2.43e-12,5.49e-13,3.51e-13,1.71e-11,1.1e-11,1.35e-10,8.7e-11,,,3.8e-12,2.43e-12,5.49e-13,3.51e-13,1.71e-11,1.1e-11,1.36e-10,8.7e-11,,,,
27,45,72Co,0,51.9,ms,0.8,(6-;7-),β⁻,100.0,,-40300.0,300.0,13900.0,300.0,-11000.0,583.0,-12000.0,583.0,,,,,-13800.0,424.0,349.0,259.0,,,,,19400.0,300.0,-29100.0,671.0,-30900.0,583.0,7030.0,300.0,2770.0,424.0,8330.0,4.0,-49.0,4.0,842.0,341.0,,,,,,,,,,,,,,,,,5.79e-10,3.71e-10,4.12e-10,2.64e-10,1.41e-09,9.08e-10,1.28e-08,8.19e-09,,,5.8e-10,3.71e-10,4.13e-10,2.64e-10,1.42e-09,9.15e-10,1.28e-08,8.19e-09,,,,
27,46,73Co,0,42,ms,0.7,(7/2-),β⁻,100.0,,-37900.0,300.0,12100.0,300.0,-13900.0,583.0,-15000.0,583.0,,,,,-15000.0,500.0,858.0,291.0,,,,,21000.0,300.0,-31200.0,671.0,-34000.0,671.0,8180.0,300.0,1290.0,424.0,8300.0,4.0,-64.4,4.0,1030.0,312.0,,,,,,,,,,,,,,,,,2.2e-10,1.41e-10,6.79e-11,4.35e-11,5.04e-10,3.23e-10,7.85e-09,5.02e-09,,,2.2e-10,1.41e-10,6.8e-11,4.35e-11,5.05e-10,3.23e-10,7.86e-09,5.03e-09,,,,
27,49,76Co,0+X,16,ms,4,(1-),β⁻,100.0,,-25600.0,500.0,16500.0,583.0,-15000.0,781.0,-16000.0,781.0,,,,,-16900.0,781.0,1730.0,487.0,,,,,25300.0,500.0,,,,,10500.0,539.0,6890.0,707.0,8130.0,7.0,-141.0,7.0,588.0,521.0,,,,,,,,,,,,,,,,,2.52e-13,1.61e-13,2.14e-14,1.37e-14,1.78e-12,1.14e-12,1.08e-11,6.91e-12,,,2.52e-13,1.61e-13,2.14e-14,1.37e-14,1.78e-12,1.14e-12,1.08e-11,6.91e-12,,,,
27,40,67Co,0,329,ms,28,(7/2-),β⁻,100.0,,-55300.0,6.44,8420.0,7.06,-9610.0,7.49,-10600.0,7.49,,,,,-10800.0,7.44,522.0,4.97,,,,,11900.0,6.5,-21700.0,200.0,-25800.0,12.9,2610.0,6.59,-6330.0,9.11,8580.0,0.0961,30.6,0.0961,1290.0,8.56,,,,,,,,,,,,,,,,,1.99e-09,1.27e-09,1.85e-09,1.19e-09,8.22e-10,5.26e-10,1.18e-07,7.55e-08,,,2.69e-09,1.72e-09,2.03e-09,1.3e-09,1.15e-09,7.42e-10,1.95e-07,1.24e-07,,,,
27,43,70Co,0+X,114,ms,4,(6-;7-),β⁻,100.0,,-46500.0,10.9,12600.0,11.1,-9630.0,300.0,-10600.0,300.0,,,,,-12100.0,15.6,146.0,10.0,,,,,16400.0,11.0,-26000.0,500.0,-28400.0,400.0,5380.0,11.6,796.0,15.5,8430.0,0.157,-12.8,0.157,852.0,236.0,,,,,,,,,,,,,,,,,2.08e-09,1.33e-09,3.6e-09,2.31e-09,3.35e-09,2.15e-09,9.81e-08,6.27e-08,,,2.12e-09,1.36e-09,3.62e-09,2.32e-09,3.44e-09,2.2e-09,1.02e-07,6.52e-08,,,,
27,44,71Co,0,80,ms,2,(7/2-),β⁻,100.0,,-44300.0,465.0,11000.0,465.0,-12400.0,613.0,-13400.0,613.0,,,,,-13200.0,506.0,344.0,343.0,,,,,18300.0,465.0,-27700.0,683.0,-31200.0,683.0,6770.0,465.0,-533.0,657.0,8390.0,6.54,-21.3,6.54,945.0,359.0,,,,,,,,,,,,,,,,,1.47e-09,9.47e-10,1.28e-09,8.25e-10,2.76e-09,1.77e-09,4.36e-08,2.79e-08,,,1.48e-09,9.53e-10,1.28e-09,8.25e-10,2.79e-09,1.79e-09,4.41e-08,2.82e-08,,,,
27,41,68Co,0,222,ms,28,(7-),β⁻,100.0,,-51600.0,3.85,11800.0,4.87,-7740.0,193.0,-8760.0,193.0,,,,,-11000.0,5.23,256.0,3.32,,,,,13900.0,4.17,-22700.0,300.0,-25300.0,200.0,4020.0,4.81,-1770.0,5.45,8520.0,0.0567,18.2,0.0567,1210.0,43.0,,,,,,,,,,,,,,,,,2.46e-09,1.58e-09,3.07e-09,1.97e-09,1.91e-09,1.22e-09,1.61e-07,1.03e-07,,,2.85e-09,1.83e-09,3.21e-09,2.06e-09,2.23e-09,1.43e-09,2.05e-07,1.31e-07,,,,
27,42,69Co,0,210,ms,9,(7/2-),β⁻,100.0,,-50300.0,85.6,9590.0,85.7,-11100.0,218.0,-12200.0,218.0,,,,,-11800.0,85.7,408.0,60.6,,,,,15300.0,85.7,-25000.0,409.0,-28700.0,312.0,5000.0,85.7,-2780.0,121.0,8490.0,1.24,7.97,1.24,1300.0,60.8,,,,,,,,,,,,,,,,,3.24e-09,2.07e-09,4.65e-09,2.98e-09,3.11e-09,1.99e-09,1.59e-07,1.01e-07,,,3.36e-09,2.15e-09,4.71e-09,3.02e-09,3.33e-09,2.13e-09,1.73e-07,1.1e-07,,,,
27,50,77Co,0,13,ms,+7.2-4.3,,β⁻,100.0,,-21900.0,600.0,15400.0,721.0,,,,,,,,,-17600.0,848.0,2600.0,540.0,,,,,26900.0,600.0,,,,,12200.0,671.0,6180.0,848.0,8080.0,8.0,-154.0,8.0,1450.0,619.0,,,,,,,,,,,,,,,,,6.52e-15,4.17e-15,1.65e-15,1.06e-15,5.86e-14,3.75e-14,6.02e-12,3.85e-12,,,6.52e-15,4.17e-15,1.65e-15,1.06e-15,5.86e-14,3.75e-14,6.02e-12,3.85e-12,,,,
27,36,63Co,0,26.9,s,0.4,7/2-,β⁻,100.0,,-61800.0,18.5,3660.0,18.5,-6210.0,19.0,-7230.0,19.0,,,,,-8750.0,18.7,429.0,13.1,,,,,3720.0,18.5,-14900.0,18.9,-20600.0,19.6,-3170.0,18.5,-13700.0,26.2,8710.0,0.294,45.0,0.294,1240.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,37,64Co,0,300,ms,30,1+,β⁻,100.0,,-59700.0,20.0,7300.0,20.0,-4820.0,20.6,-5840.0,20.6,,,,,-9240.0,20.1,524.0,14.2,,,,,5630.0,20.0,-16800.0,20.3,-20100.0,20.3,-2350.0,20.0,-9180.0,28.2,8670.0,0.312,35.7,0.312,725.0,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34,61Co,0,1.65,h,0.005,7/2-,β⁻,100.0,,-62800.0,0.839,1320.0,0.789,-3970.0,2.73,-4990.0,2.73,,,,,-7830.0,1.71,523.0,0.989,,,,,-914.0,1.19,-11100.0,2.47,-17200.0,2.47,-6490.0,0.79,-17800.0,1.18,8750.0,0.0138,37.6,0.0138,1360.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,35,62Co,0,1.51,m,0.04,(2)+,β⁻,100.0,,-61400.0,18.5,5320.0,18.5,-2540.0,18.7,-3560.0,18.7,,,,,-8020.0,18.7,381.0,13.2,,,,,1360.0,18.5,-12900.0,19.6,-16900.0,18.7,-5270.0,18.5,-13000.0,26.2,8720.0,0.299,36.2,0.299,950.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,38,65Co,0,1.16,s,0.03,(7/2)-,β⁻,100.0,,-59100.0,2.08,5940.0,2.13,-7960.0,5.51,-8980.0,5.51,,,,,-9860.0,3.12,446.0,2.0,,,,,8070.0,2.17,-18200.0,4.26,-23400.0,4.1,-157.0,2.13,-9810.0,2.94,8650.0,0.032,43.5,0.032,1080.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,39,66Co,0,200,ms,15,(1+),β⁻,100.0,,-56400.0,13.9,9590.0,14.0,-6340.0,14.5,-7360.0,14.5,,,,,-10300.0,15.4,658.0,10.4,,,,,9840.0,13.9,-19600.0,17.8,-22700.0,14.4,645.0,13.9,-5450.0,19.7,8600.0,0.211,30.5,0.211,844.0,10.4,,,,,,,,,,,,,,,,,2.8e-10,1.79e-10,1.14e-09,7.35e-10,2.43e-10,1.56e-10,1.25e-08,8e-09,,,6.63e-10,2.98e-10,1.51e-09,9.72e-10,4.91e-10,3.14e-10,3.63e-08,1.63e-08,,,,
27,33,60Co,0,5.271,y,+0.001-0.001,5+,β⁻,100.0,,-61600.0,0.403,2820.0,0.212,-237.0,3.41,-1250.0,3.41,,,,,-7160.0,0.375,482.0,0.266,,,,,-3300.0,1.58,-8680.0,2.36,-13400.0,2.36,-8560.0,0.206,-17500.0,0.569,8740.0,0.0067,22.1,0.0067,913.0,0.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,51,79Ni,0,43,ms,+8.6-7.5,,β⁻,100.0,,-28100.0,500.0,14200.0,511.0,,,,,,,,,-15800.0,781.0,2660.0,487.0,,,,,25200.0,500.0,,,,,8550.0,500.0,4560.0,707.0,8150.0,6.0,-146.0,6.0,952.0,478.0,,,,,,,,,,,,,,,,,,,8.04e-14,5.15e-14,2.03e-12,1.3e-12,3.4e-10,2.17e-10,,,,,8.04e-14,5.15e-14,2.03e-12,1.3e-12,3.4e-10,2.17e-10,,,,
